video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=U9j10hMsHWU&pp=ygUGc2FpZ29u,/@PuriandSue,Puri and Sue,Ho Chi Minh City - 18 Things to do | 4D3N Itinerary | What to do in Saigon,136K,6 months,"Ho Chi Minh City, Vietnam's largest city, or still commonly referred to by its former name, Saigon. It's truly one of the most vibrant ...",2026-01-21 22:52:52.328731
/watch?v=H9QMq2wgb8o&pp=ygUGc2FpZ29u,/@AmandaFelixEats,Amanda & Felix Eats,Ultimate Ho Chi Minh City🇻🇳 FOOD TOUR || Saigon’s Best Street Food & Local Dishes!,189K,9 months,Xin chào and ALOHA   Come with us on this ultimate Ho Chi Minh City     FOOD TOUR! We're showing you all of Saigon's Best ...,2026-01-21 22:52:52.332497
/watch?v=WisjwmQHPRQ&pp=ygUGc2FpZ29u,/@Meitimeyt,Mei Time,"Ho Chi Minh City in 4 Days 🌿 (for cafés, food & vintage architecture)",101K,4 months,"Our 4-day itinerary in Ho Chi Minh City, Vietnam ☕️ - Day 1️⃣: Hủ Tiếu Nam Vang Thành Đạt, Little Hanoi Egg Coffee (Yersin) ...",2026-01-21 22:52:52.334062
/watch?v=KWhDJQntg8g&pp=ygUGc2FpZ29u,/@WheresWes,Where's Wes?,Watch This BEFORE Visiting Ho Chi Minh City/Saigon  🇻🇳 (Vietnam Travel Vlog),216K,2 years,I share my experiences in Saigon/Ho Chi Minh City in this travel vlog from Vietnam. I give my opinion on whether or not you ...,2026-01-21 22:52:52.335366
/watch?v=35Z4GGvCmlU&pp=ygUGc2FpZ29u,/@Expedia,Expedia,Ho Chi Minh City Vacation Travel Guide | Expedia,1.3M,10 years,Ho Chi Minh City – Visit the southern tip of Vietnam for one of South East Asia's emerging boom cities. Check out the best things to ...,2026-01-21 22:52:52.337035
/watch?v=D7F6pTXmvWw&pp=ygUGc2FpZ29u,/@IslandHopperTV,Island Hopper TV,Best Things To Do in Ho Chi Minh City Vietnam 2026 4K,27K,1 month,In this best things to do in Ho Chi Minh City Vietnam travel video we show you all around this mega city in the south. In this Ho Chi ...,2026-01-21 22:52:52.340799
/watch?v=bN8veEs8ec0&pp=ygUGc2FpZ29u,/@ONWorldTravel,ON World Travel,SAIGON: First impressions of HECTIC Ho Chi Minh (Vietnam),126K,1 year,"Olivia and Nathan here! Saigon, Vietnam (Ho Chi Minh) was WILD. Easily the loudest and most hectic city we've ever been to.",2026-01-21 22:52:52.343838
/watch?v=QzegCBrJ83o&pp=ygUGc2FpZ29u,/@CNBCi,CNBC International,Discovering hidden gems of Ho Chi Minh City's food scene,58K,11 months,"American chef and content creator Chad Kubanoff moved to Vietnam a decade ago, with the intention of leaving within a year.",2026-01-21 22:52:52.345348
/watch?v=oTlKahi9e44&pp=ygUGc2FpZ29u,/@vietnamstreetfoodtv8578,Vietnam Street Food TV,BEST 15 SAIGON MICHELIN STREET FOOD 2025 // Vietnamese Michelin Guide,75K,4 months,streetfood #streetfoodvietnam #vietnamstreetfood #market #vietnam #saigon #hochiminhcity #hochiminhtoday ...,2026-01-21 22:52:59.661802
/watch?v=P-zkUCENnOk&pp=ygUGc2FpZ29u,/@Mousetrvp,Kevin Ha,a FULL week in SAIGON (shopping + what we ate) | Vietnam Series,64K,10 months,stay connected ⤵️ INSTAGRAM : https://www.instagram.com/mousetrvp/ https://www.instagram.com/chaaarcastle/ TIKTOK ...,2026-01-21 22:52:59.663670
/watch?v=ZSvpdgQ5VTk&pp=ygUGc2FpZ29u,/@travelvietnam4k,TRAVEL VIETNAM 4K,Inside Saigon’s District 1! Walking the Most Famous Streets in Ho Chi Minh City,8K,3 months,vietnam #saigon #hochiminhcity Inside Saigon's District 1! Walking the Most Famous Streets in Ho Chi Minh City Take a relaxing ...,2026-01-21 22:52:59.665233
/watch?v=ysanxgFM1Wo&pp=ygUGc2FpZ29u,/@ii_captaiin,I Am Freeman,"a massive Korean district in Saigon, Vietnam? 🇻🇳 (whats it like there)",930,23 hours,TikTok - tiktok.com/@ii_captaiin?lang=en IG - https://www.instagram.com/ii_captaiin My Channel ...,2026-01-21 22:52:59.666496
/watch?v=WPzyYZ0Uiaw&pp=ygUGc2FpZ29u,/@vintagefoodfarm,Vintage Food Farm,"Hello Ho Chi Minh City! ❤️🇻🇳 VIP ""Fast Track"" Entry Service! Hotel tour, Food 😋Coffee and Prices!",72K,1 month,We are going to show you some SERIOUSLY GOOD TRAVEL TIPS when arriving in Ho Chi Minh City (Saigon) Vietnam!,2026-01-21 22:52:59.668068
/watch?v=MlaEG7HpR58&pp=ygUGc2FpZ29u,/@travelforphoebe,Travel For Phoebe,The BEST of Ho Chi Minh City  🇻🇳 Food & Fun in Saigon!,156K,10 months,"Saigon (Ho Chi Minh City) is Vietnam's most vibrant city, and after a few days here, I can officially say—I'm obsessed! This city has ...",2026-01-21 22:52:59.670118
/watch?v=Q7JxPU1ddkI&pp=ygUGc2FpZ29u,/@FoodOscar,Food Oscar,TOP Vietnamese Street Food You MUST TRY in Saigon 2025,477K,3 months,TOP Vietnamese Street Food You MUST TRY in Saigon 2025 Join us on a delicious food adventure through Ho Chi Minh City to ...,2026-01-21 22:52:59.671388
/watch?v=eqtN5NK9E7c&pp=ygUGc2FpZ29u,/@travelvietnam4k,TRAVEL VIETNAM 4K,Ho Chi Minh City (Saigon) Nightlife | Explore Vietnam 🇻🇳 Streets 2024,114K,1 year,"Nightlife #WalkingStreet #hochiminhcity Ho Chi Minh City (Saigon) Nightlife | Explore Vietnam Streets 2024 Today, lots of ...",2026-01-21 22:52:59.672689
/watch?v=FukFEQ4vcGQ&pp=ygUGc2FpZ29u,/@BingoandBinew,Bingo and Binew,"Ho Chi Minh City travel vlog 🇻🇳 Cafes, shopping, local food in District 1 Saigon, Vietnam",56K,7 months,"In this video we're in Ho Chi Minh City (Saigon), Vietnam to enjoy the best cafes, shopping, and local food in Saigon's famous ...",2026-01-21 22:52:59.674525
/watch?v=MhApgf9SHxU&pp=ygUGc2FpZ29u,/@MoreBestEverFoodReviewShow,More Best Ever Food Review Show,Saigon After Midnight!! Vietnam Late Night Street Food!!,4.2M,1 year,FOLLOW US!!* https://www.instagram.com/besteverfoodreviewshow/ Like our music? Enjoy FREE 30-days of Epidemic ...,2026-01-21 22:52:59.676483
/watch?v=UhNnYMM3CEA&pp=ygUGc2FpZ29u,/@bkk1126,Bkk112,Saigon After Dark 🇻🇳 | Vietnam Nightlife Walk [4K],885,10 hours,Vietnam Night Scenes - Bui Vien night walk - December 2025 To support this channel with no extra cost to yourself book agoda ...,2026-01-21 22:52:59.678372
/watch?v=3h1_uP2fDSA&pp=ygUGc2FpZ29u0gcJCYcKAYcqIYzv,/@Twocantravel,Jen and Stevo ~ Two Can Travel,"Exploring Ho Chi Minh City District 1 🇻🇳 Saigon, Vietnam Travel Vlog",2.2K,11 days,"We're exploring District 1 in Ho Chi Minh City (aka Saigon), Vietnam. We're showing you some of the most famous sites, all within ...",2026-01-21 22:52:59.680340
/watch?v=Qjzjhl-QztE&list=RDQjzjhl-QztE&start_radio=1&pp=ygUGc2FpZ29uoAcB,/channel/UCyVomykHKyWCWo8lSKHHmzA,Billy Joel,Billy Joel - Goodnight Saigon (Official Video),9M,16 years,"In 1982, Billy Joel released an album titled The Nylon Curtain, which became a Billboard Top 10 album and was one of the first to ...",2026-01-21 22:52:59.681625
/shorts/dMw3sBARlqg,/@karenexplores,Karen Explores,8 THINGS TO DO IN SAIGON VIETNAM 😍🇻🇳 #vietnam #saigon #hochiminhcity #travelguide,603K,1 year,... however I would also recommend Saigon Square Market for better quality items and the air conditioning six Vietnam has a huge ...,2026-01-21 22:52:59.683029
/watch?v=8eX5nahjbbQ&pp=ygUGc2FpZ29u,/@travelvietnam4k,TRAVEL VIETNAM 4K,Best City to Visit in Vietnam 🇻🇳 Saigon City Centre Walk,56K,1 year,saigon #citycentre #hochiminhcity Best City to visit in Vietnam Saigon City Centre Walk eSIM Card for your Travel ...,2026-01-21 22:52:59.684377
/watch?v=nw8GVP64sK8&pp=ygUGc2FpZ29u,/@SGHN,SÀI GÒN HÔM NAY,"Rồi Xong! ""HỐT HẾT"" Đi Luôn CÁI TẾT | Khu BÀ CHIỂU &  Khu XÓM GÀ Bình Thạnh | Sài Gòn Hôm Nay",12K,20 hours,ĐĂNG KÝ KÊNH ỦNG HỘ SÀI GÒN HÔM NAY TẠI ĐÂY : https://bit.ly/2IsBRQt KÊNH THỨ 2 CỦA SÀI GÒN HÔM NAY: ...,2026-01-21 22:52:59.685650
/watch?v=iciBQUkRcH8&pp=ygUGc2FpZ29u0gcJCYcKAYcqIYzv,/@docSammy.travels,Doc Sammy ,HO CHI MINH FULL 5 DAYS ITINERARY  WITH 22K PHP BUDGET 🇻🇳,15K,5 months,"In this video, I'm sharing my complete Ho Chi Minh itinerary with a total budget of only 22000 PHP—flights, hotel, tours, and more!",2026-01-21 22:52:59.687133
/shorts/J8iU4_rFHns,/@TheTravelGuardian,The Travel Guardian,Ho Chi Minh City Vietnam | 3 Days Itinerary | Things to do in Ho Chi Minh City | Mekong Delta Trip,172K,6 months,"Welcome to The Travel Guardian, your ultimate companion for exploring the most vibrant and historic cities across the globe!",2026-01-21 22:52:59.688639
/watch?v=ZzGj2-FU3wo&pp=ygUGc2FpZ29u0gcJCYcKAYcqIYzv,/@HungryTwoTravel,Hungry Two Travel,Vietnam Street Food in Saigon - SIZZLING Vietnamese Steak and Eggs + Street Food in Ho Chi Minh City,33K,3 months,"Vietnam street food in Saigon. We went on a huge street food tour in Vietnam's biggest city, Ho Chi Minh City tasting local street ...",2026-01-21 22:53:09.508714
/watch?v=-AFHtZ5Or1U&list=RD-AFHtZ5Or1U&start_radio=1&pp=ygUGc2FpZ29uoAcB,/@rhino,RHINO,Saigon Kick - Love Is On The Way (Official Music Video),2M,1 year,"You're watching the official music video for Saigon Kick - ""Love Is On The Way"" from the album 'The Lizard' (1992) Subscribe to ...",2026-01-21 22:53:09.511798
/watch?v=oVQdDxkiR3w&pp=ygUGc2FpZ29u,/@wherearewe-yt,Where Are We?!,"We're in LOVE with HO CHI MINH CITY, VIETNAM 🇻🇳 ❤️ - Is Saigon BETTER than Hanoi?!",16K,5 months,"In this week's video, we visit Ho Chi Minh City, Vietnam for the first time! These are our first impressions of the city. We are ...",2026-01-21 22:53:09.513478
/watch?v=5dyC5essnTw&pp=ygUGc2FpZ29u,/@strictlydumpling,Strictly Dumpling,24 Hours Vietnamese STREET FOOD Tour + BIGGEST Bánh mì in Saigon Vietnam,303K,5 months,Join me as I eat Vietnamese street food for 24 hours in the heart of Saigon (Ho Chi Minh City)! #SaigonStreetFood #streetfood ...,2026-01-21 22:53:09.517495
/watch?v=9KdoMg4yDvk&pp=ygUGc2FpZ29u,/@FoodOscar,Food Oscar,MOST Famous Vietnam Street Foods in Saigon - The Ultimate Carb Heaven Tour,1.7K,10 hours,MOST Famous Vietnam Street Foods in Saigon - The Ultimate Carb Heaven Tour Foods that I tried (not in order): 1. Chicken ...,2026-01-21 22:53:09.518658
/watch?v=NbDv1zFBB5o&pp=ygUGc2FpZ29u,/@Macoi24,Mắc Ơi ,"5 Must Eats in Saigon, Vietnam 🇻🇳",939K,1 year,Bún thịt nướng - Nguyễn Trung Trực https://maps.app.goo.gl/rrd4WQhFi7u7515d6 Cơm Tấm Hẻm 33 ...,2026-01-21 22:53:09.519952
/watch?v=YP-rOKVBMeA&list=RDYP-rOKVBMeA&start_radio=1&pp=ygUGc2FpZ29uoAcB,/channel/UCQ6y1bGU-e_EFY2DumK6n5Q,SAIGON TV,Saigon - Stocking Cap (Official Video),78K,1 year,"As Saigon Gears Up To Release His New Album ""The Jordan Era"" He Has Began Releasing Some Never Been Seen Videos Of ...",2026-01-21 22:53:09.521200
/watch?v=7MP3f8Mg9V8&pp=ygUGc2FpZ29u,/@HausByG,Georgene Loh,6 days in Ho Chi Minh city,157K,6 months,"After 10 long years, I am finally back to this beautiful city. So glad to be able to document it this time and I'm sure i'll be back soon ...",2026-01-21 22:53:09.524901
/watch?v=5UPkcm17V10&pp=ygUGc2FpZ29u,/@DaneAndStacey,Dane and Stacey,Vietnam Travel Costs! Ho Chi Minh City Food & Attractions,112K,1 year,"Spend the next 24 hours in Ho Chi Minh City with us - top things to do, main attractions, food and prices - why does Saigon get ...",2026-01-21 22:53:09.526361
/watch?v=ofbjVTHxCcE&pp=ygUGc2FpZ29u,/@HungryTwoTravel,Hungry Two Travel,"Eating NONSTOP Vietnamese Street Food in Saigon - MUST TRY Street Food in Ho Chi Minh City, Vietnam",40K,2 months,"Eating nonstop Vietnamese street food in Saigon. The food scene in Ho Chi Minh City is next level, and this week we went on an ...",2026-01-21 22:53:09.528052
/watch?v=PztuaHYGuig&pp=ygUGc2FpZ29u,/@TravelWithNala,David & Kim,Saigon Nightlife Is Way TOO WILD - (i kinda love it),49K,10 months,My first time in Ho Chi Minh City (Saigon). Join my on a short overnight trip to the Business and Tech Hub of Vietnam. In this video ...,2026-01-21 22:53:09.529389
